date	lat	lon	vo	pres	idx
2021011000	-22.50	-43.00	-1.23	1013.0	20210110001
2021011006	-22.50	-44.00	-1.12	1012.0	20210110001
2021011012	-22.50	-43.00	-1.02	1014.0	20210110001
2021011018	-23.25	-44.25	-1.26	1012.0	20210110001
2021011100	-22.75	-45.25	-1.39	1014.0	20210110001
2021011106	-23.00	-44.50	-1.33	1012.0	20210110001
2021011112	-23.25	-44.50	-1.15	1015.0	20210110001
2021011118	-23.75	-44.25	-1.11	1012.0	20210110001
2021011200	-23.50	-45.00	-1.14	1013.0	20210110001
2021011206	-23.00	-44.50	-1.05	1013.0	20210110001
2021011212	-23.50	-44.50	-1.05	1014.0	20210110001
2021011218	-30.00	-47.75	-1.62	1013.0	20210110001
2021011318	-24.25	-45.00	-1.05	1013.0	20210113182
2021011400	-23.75	-45.25	-1.54	1014.0	20210113182
2021011406	-24.25	-45.25	-1.38	1014.0	20210113182
2021011412	-25.25	-45.25	-1.32	1016.0	20210113182
2021011418	-25.25	-45.00	-1.35	1015.0	20210113182
2021011500	-24.25	-45.25	-1.32	1016.0	20210113182
2021011506	-23.75	-45.00	-1.10	1014.0	20210113182
2021011906	-25.00	-43.25	-1.52	1013.0	20210119063
2021011912	-25.00	-43.00	-1.43	1016.0	20210119063
2021011918	-25.25	-42.50	-1.33	1015.0	20210119063
2021012000	-23.75	-44.75	-1.30	1015.0	20210119063
2021012006	-24.00	-44.75	-1.21	1015.0	20210119063
2021012012	-25.00	-44.75	-1.14	1017.0	20210119063
2021012018	-25.50	-45.00	-1.07	1015.0	20210119063
2021012100	-23.75	-45.25	-1.13	1016.0	20210119063
2021012106	-23.50	-45.25	-1.10	1015.0	20210119063
2021012900	-27.25	-71.50	-1.60	1012.0	20210129004
2021012906	-26.75	-67.00	-1.65	1009.0	20210129004
2021012912	-22.50	-64.00	-1.98	1009.0	20210129004
2021012918	-16.50	-64.00	-2.32	1007.0	20210129004
2021013000	-20.50	-62.75	-2.45	1005.0	20210129004
2021013006	-21.75	-63.00	-2.86	1007.0	20210129004
2021013012	-19.50	-63.50	-2.59	1010.0	20210129004
2021013018	-20.75	-63.25	-1.97	1005.0	20210129004
2021013100	-19.50	-63.25	-2.29	1006.0	20210129004
2021022700	-24.25	-43.75	-1.46	1016.0	20210227005
2021022706	-24.50	-44.25	-1.51	1015.0	20210227005
2021022712	-25.00	-44.50	-1.64	1017.0	20210227005
2021022718	-26.25	-44.25	-1.74	1017.0	20210227005
2021022800	-25.25	-45.00	-1.63	1017.0	20210227005
2021022806	-25.25	-46.50	-1.54	1015.0	20210227005
2021022812	-25.75	-47.25	-1.42	1017.0	20210227005
2021022818	-27.00	-49.00	-1.41	1015.0	20210227005
2021030100	-29.25	-52.75	-1.65	1012.0	20210227005
2021030900	-28.25	-47.00	-1.50	1012.0	20210309006
2021030906	-28.50	-46.00	-1.99	1010.0	20210309006
2021030912	-29.25	-44.75	-2.83	1011.0	20210309006
2021030918	-30.50	-44.25	-3.87	1010.0	20210309006
2021031000	-31.50	-44.50	-4.36	1010.0	20210309006
2021031700	-23.50	-44.75	-1.10	1012.0	20210317007
2021031706	-27.00	-47.50	-1.18	1011.0	20210317007
2021031712	-26.25	-44.75	-1.02	1013.0	20210317007
2021031718	-26.50	-44.25	-1.15	1011.0	20210317007
2021031800	-26.00	-43.50	-1.19	1014.0	20210317007
2021031806	-25.75	-43.50	-1.31	1014.0	20210317007
2021031812	-25.25	-43.50	-1.13	1016.0	20210317007
2021032406	-29.00	-71.50	-1.71	1016.0	20210324068
2021032412	-28.00	-73.00	-1.64	1018.0	20210324068
2021032418	-26.50	-71.75	-1.79	1016.0	20210324068
2021032500	-26.00	-71.75	-1.82	1016.0	20210324068
2021032506	-26.50	-72.75	-1.75	1017.0	20210324068
2021032500	-26.00	-71.75	-1.82	1016.0	20210325009
2021032506	-26.50	-72.75	-1.75	1017.0	20210325009
2021032512	-26.75	-73.00	-1.82	1017.0	20210325009
2021032518	-26.75	-73.00	-1.94	1015.0	20210325009
2021032600	-25.75	-72.75	-1.85	1015.0	20210325009
2021040818	-26.25	-71.50	-1.56	1015.0	202104081810
2021040900	-26.00	-71.25	-1.63	1016.0	202104081810
2021040906	-27.25	-72.25	-1.60	1017.0	202104081810
2021040912	-27.25	-72.00	-1.76	1018.0	202104081810
2021040918	-26.25	-72.00	-1.98	1016.0	202104081810
2021041000	-27.25	-73.00	-2.01	1017.0	202104081810
2021053018	-27.25	-72.00	-1.93	1019.0	202105301811
2021053100	-28.50	-70.00	-2.16	1018.0	202105301811
2021053106	-28.50	-69.25	-2.16	1017.0	202105301811
2021053112	-28.50	-69.25	-2.01	1017.0	202105301811
2021053118	-26.75	-70.50	-2.07	1016.0	202105301811
2021060700	-24.00	-44.00	-1.14	1019.0	202106070012
2021060706	-24.00	-43.75	-1.51	1018.0	202106070012
2021060712	-24.25	-43.75	-1.60	1020.0	202106070012
2021060718	-24.75	-43.75	-1.51	1017.0	202106070012
2021060800	-24.50	-44.50	-1.44	1019.0	202106070012
2021060806	-24.50	-45.00	-1.35	1019.0	202106070012
