date	lat	lon	vo	pres	idx
2020040100	-30.00	-42.75	-1.27	1016.0	20200401001
2020040106	-28.25	-44.25	-1.14	1015.0	20200401001
2020040112	-27.75	-43.50	-1.36	1018.0	20200401001
2020040118	-27.50	-44.25	-1.28	1016.0	20200401001
2020040200	-27.75	-45.00	-1.15	1017.0	20200401001
2020040206	-31.25	-49.00	-1.09	1013.0	20200401001
2020050200	-27.25	-71.25	-1.54	1015.0	20200502002
2020050206	-30.50	-71.75	-1.71	1017.0	20200502002
2020050212	-29.50	-71.50	-1.70	1018.0	20200502002
2020050218	-28.25	-70.25	-1.55	1013.0	20200502002
2020050300	-28.00	-69.50	-2.12	1014.0	20200502002
2020050306	-29.50	-70.00	-2.05	1014.0	20200502002
2020050312	-30.25	-70.25	-1.79	1016.0	20200502002
2020052106	-25.50	-73.00	-1.62	1017.0	20200521063
2020052112	-26.00	-73.00	-1.67	1018.0	20200521063
2020052118	-25.25	-71.75	-1.64	1016.0	20200521063
2020052200	-25.25	-71.50	-1.45	1019.0	20200521063
2020052206	-25.50	-72.50	-1.55	1020.0	20200521063
2020060606	-25.50	-72.00	-1.55	1017.0	20200606064
2020060612	-25.00	-72.75	-1.26	1018.0	20200606064
2020060618	-26.50	-71.50	-1.36	1016.0	20200606064
2020060700	-27.50	-71.50	-1.63	1018.0	20200606064
2020060706	-27.00	-73.00	-1.60	1019.0	20200606064
2020062500	-25.25	-71.50	-1.48	1017.0	20200625005
2020062506	-25.50	-72.25	-1.68	1018.0	20200625005
2020062512	-26.25	-73.00	-1.85	1018.0	20200625005
2020062518	-27.25	-72.75	-1.95	1016.0	20200625005
2020062600	-26.75	-71.00	-1.93	1016.0	20200625005
2020062606	-28.75	-70.25	-2.08	1017.0	20200625005
2020062612	-25.50	-72.75	-1.76	1019.0	20200625005
2020062618	-28.75	-70.00	-1.34	1017.0	20200625005
2020062700	-28.25	-69.25	-1.47	1018.0	20200625005
2020062706	-24.75	-71.50	-1.44	1017.0	20200625005
2020062712	-25.00	-72.75	-1.35	1016.0	20200625005
2020062706	-24.50	-72.25	-1.46	1017.0	20200627066
2020062712	-25.00	-72.75	-1.35	1016.0	20200627066
2020062718	-25.75	-71.75	-1.21	1013.0	20200627066
2020062800	-25.25	-70.25	-1.18	1015.0	20200627066
2020062806	-23.75	-71.75	-1.20	1015.0	20200627066
2020063018	-25.50	-71.75	-1.04	1017.0	20200630187
2020070100	-24.25	-71.50	-1.32	1017.0	20200630187
2020070106	-24.75	-71.75	-1.63	1016.0	20200630187
2020070112	-26.00	-71.50	-1.96	1017.0	20200630187
2020070118	-27.00	-70.25	-1.83	1014.0	20200630187
2020070200	-26.00	-70.00	-1.93	1016.0	20200630187
2020070206	-19.75	-74.50	-1.74	1016.0	20200630187
2020070800	-22.50	-71.50	-1.10	1020.0	20200708008
2020070806	-22.25	-71.75	-1.51	1020.0	20200708008
2020070812	-22.25	-71.50	-1.42	1020.0	20200708008
2020070818	-27.00	-70.00	-1.29	1018.0	20200708008
2020070900	-27.50	-69.75	-1.61	1020.0	20200708008
2020070906	-25.75	-71.50	-1.70	1019.0	20200708008
2020070912	-26.50	-71.25	-1.73	1019.0	20200708008
2020070918	-27.75	-70.00	-2.14	1015.0	20200708008
2020071000	-28.75	-69.00	-2.64	1014.0	20200708008
2020071006	-29.00	-68.25	-2.60	1013.0	20200708008
2020071012	-28.50	-67.25	-2.37	1012.0	20200708008
2020071018	-27.25	-69.50	-1.63	1012.0	20200708008
2020071100	-21.00	-74.50	-1.75	1016.0	20200708008
2020072206	-26.00	-71.75	-1.27	1018.0	20200722069
2020072212	-25.75	-71.75	-1.36	1019.0	20200722069
2020072218	-26.00	-71.25	-1.39	1016.0	20200722069
2020072300	-25.00	-71.00	-1.29	1018.0	20200722069
2020072306	-24.75	-71.25	-1.30	1020.0	20200722069
2020072312	-22.50	-70.75	-1.44	1019.0	20200722069
2020072306	-24.75	-71.25	-1.30	1020.0	202007230610
2020072312	-22.50	-70.75	-1.44	1019.0	202007230610
2020072318	-25.25	-71.00	-1.56	1017.0	202007230610
