date	lat	lon	vo	pres	idx
2018010800	-23.75	-43.00	-1.39	1017.0	20180108001
2018010806	-24.00	-43.75	-1.36	1016.0	20180108001
2018010812	-25.00	-44.25	-1.70	1018.0	20180108001
2018010818	-26.00	-44.50	-1.57	1018.0	20180108001
2018010900	-25.25	-45.00	-1.12	1019.0	20180108001
2018010906	-25.25	-45.50	-1.16	1018.0	20180108001
2018010912	-25.50	-46.00	-1.02	1021.0	20180108001
2018011112	-30.75	-51.00	-1.10	1018.0	20180111122
2018011118	-29.50	-50.75	-1.73	1015.0	20180111122
2018011200	-28.25	-50.75	-1.69	1014.0	20180111122
2018011206	-27.75	-48.25	-1.30	1013.0	20180111122
2018011212	-28.00	-47.50	-1.72	1014.0	20180111122
2018011218	-27.75	-47.00	-2.12	1011.0	20180111122
2018011300	-27.50	-46.25	-1.82	1011.0	20180111122
2018011306	-28.75	-45.75	-2.17	1010.0	20180111122
2018011312	-28.50	-44.75	-2.31	1012.0	20180111122
2018011318	-30.00	-45.00	-2.67	1010.0	20180111122
2018011400	-30.75	-46.00	-2.14	1010.0	20180111122
2018032518	-26.50	-44.75	-1.48	1016.0	20180325183
2018032600	-25.25	-45.00	-1.55	1017.0	20180325183
2018032606	-27.00	-46.00	-1.46	1017.0	20180325183
2018032612	-28.25	-47.50	-1.34	1020.0	20180325183
2018032618	-29.25	-48.25	-1.71	1018.0	20180325183
2018032700	-30.50	-47.50	-1.28	1019.0	20180325183
2018032706	-30.50	-48.00	-1.48	1017.0	20180325183
2018032712	-31.25	-48.75	-1.11	1019.0	20180325183
2018050206	-26.50	-71.75	-1.31	1017.0	20180502064
2018050212	-27.75	-72.50	-1.04	1018.0	20180502064
2018050218	-26.75	-70.00	-1.13	1015.0	20180502064
2018050300	-22.50	-63.75	-1.58	1011.0	20180502064
2018050306	-22.25	-62.50	-1.88	1011.0	20180502064
2018050212	-27.75	-72.50	-1.04	1018.0	20180502125
2018050218	-26.75	-70.00	-1.13	1015.0	20180502125
2018050300	-25.00	-70.25	-1.26	1015.0	20180502125
2018050306	-24.00	-65.50	-1.52	1014.0	20180502125
2018050312	-28.75	-63.00	-1.96	1013.0	20180502125
2018060112	-28.00	-73.00	-1.52	1018.0	20180601126
2018060118	-27.00	-73.00	-1.74	1016.0	20180601126
2018060200	-27.50	-73.00	-1.66	1018.0	20180601126
2018060206	-26.00	-73.00	-1.43	1019.0	20180601126
2018060212	-28.50	-71.00	-1.43	1022.0	20180601126
2018060218	-28.25	-70.25	-1.84	1021.0	20180601126
2018060300	-26.50	-71.50	-1.81	1021.0	20180601126
2018060306	-27.25	-73.00	-1.72	1022.0	20180601126
2018060412	-27.25	-73.00	-1.63	1020.0	20180604127
2018060418	-26.25	-72.00	-2.01	1018.0	20180604127
2018060500	-27.00	-70.50	-2.31	1017.0	20180604127
2018060506	-27.50	-70.25	-2.24	1016.0	20180604127
2018060512	-31.50	-71.50	-2.13	1018.0	20180604127
2018061206	-24.50	-72.00	-1.69	1020.0	20180612068
2018061212	-25.50	-72.50	-1.75	1021.0	20180612068
2018061218	-27.50	-72.00	-1.80	1021.0	20180612068
2018061300	-26.00	-71.50	-1.77	1021.0	20180612068
2018061306	-28.25	-70.75	-1.56	1023.0	20180612068
2018061312	-27.00	-71.75	-1.56	1022.0	20180612068
2018061318	-26.00	-73.00	-1.82	1020.0	20180612068
2018062006	-27.50	-71.50	-1.61	1021.0	20180620069
2018062012	-26.25	-73.00	-1.87	1020.0	20180620069
2018062018	-27.75	-72.25	-2.27	1018.0	20180620069
2018062100	-28.00	-72.50	-2.71	1017.0	20180620069
2018062106	-29.50	-72.00	-2.60	1018.0	20180620069
2018062406	-29.25	-71.75	-1.61	1021.0	201806240610
2018062412	-27.25	-73.00	-1.57	1021.0	201806240610
2018062418	-26.25	-72.00	-1.78	1019.0	201806240610
2018062500	-27.25	-71.75	-1.76	1019.0	201806240610
2018062506	-29.75	-70.75	-1.78	1019.0	201806240610
2018062512	-30.50	-70.00	-1.61	1018.0	201806240610
2018062518	-28.00	-70.75	-1.80	1017.0	201806240610
2018062600	-28.50	-70.00	-1.78	1016.0	201806240610
2018062606	-26.50	-74.50	-1.85	1017.0	201806240610
2018062912	-28.50	-45.75	-1.07	1016.0	201806291211
2018062918	-29.25	-44.25	-1.48	1015.0	201806291211
2018063000	-28.75	-43.75	-1.51	1017.0	201806291211
2018063006	-29.00	-43.00	-1.59	1016.0	201806291211
2018063012	-33.00	-41.50	-1.40	1017.0	201806291211
2018070606	-24.00	-70.75	-1.13	1017.0	201807060612
2018070612	-23.00	-71.25	-1.58	1016.0	201807060612
2018070618	-25.75	-71.00	-1.79	1015.0	201807060612
2018070700	-25.75	-71.50	-1.79	1015.0	201807060612
2018070706	-29.75	-73.00	-1.91	1017.0	201807060612
2018070812	-31.50	-47.25	-2.77	1020.0	201807081213
2018070818	-30.25	-46.75	-2.72	1020.0	201807081213
2018070900	-29.25	-45.75	-2.77	1020.0	201807081213
2018070906	-28.75	-44.50	-3.54	1019.0	201807081213
2018070912	-28.25	-42.75	-3.80	1019.0	201807081213
2018070918	-28.75	-42.00	-4.36	1017.0	201807081213
2018071100	-30.25	-70.75	-1.80	1020.0	201807110014
2018071106	-31.00	-70.25	-1.79	1020.0	201807110014
2018071112	-28.50	-71.75	-1.70	1020.0	201807110014
2018071118	-28.00	-72.00	-2.05	1018.0	201807110014
2018071200	-29.00	-70.75	-1.86	1018.0	201807110014
2018071700	-25.50	-72.75	-1.64	1018.0	201807170015
2018071706	-27.00	-72.25	-1.48	1019.0	201807170015
2018071712	-25.50	-72.00	-1.44	1019.0	201807170015
2018071718	-25.25	-70.75	-2.05	1018.0	201807170015
2018071800	-24.00	-71.00	-1.63	1019.0	201807170015
2018071806	-25.00	-71.25	-1.33	1020.0	201807170015
2018071812	-22.50	-71.00	-1.39	1021.0	201807170015
2018071818	-18.00	-73.00	-1.93	1019.0	201807170015
2018071900	-18.00	-73.00	-1.76	1020.0	201807170015
2018072800	-23.75	-70.75	-1.31	1020.0	201807280016
2018072806	-25.25	-71.50	-1.03	1021.0	201807280016
2018072812	-23.75	-72.00	-1.26	1019.0	201807280016
2018072818	-27.00	-70.50	-1.53	1018.0	201807280016
2018072900	-26.00	-70.00	-1.67	1019.0	201807280016
2018072906	-30.00	-73.00	-1.31	1021.0	201807280016
2018080118	-24.50	-71.50	-1.28	1019.0	201808011817
2018080200	-25.75	-70.75	-1.31	1020.0	201808011817
2018080206	-28.50	-70.25	-1.45	1020.0	201808011817
2018080212	-27.00	-71.50	-1.89	1021.0	201808011817
2018080218	-24.50	-71.75	-2.06	1017.0	201808011817
2018080300	-26.75	-71.50	-2.06	1018.0	201808011817
2018080306	-28.50	-73.00	-2.28	1019.0	201808011817
2018081118	-25.50	-71.25	-1.30	1018.0	201808111818
2018081200	-25.50	-67.00	-1.49	1017.0	201808111818
2018081206	-24.00	-64.25	-2.21	1014.0	201808111818
2018081212	-21.25	-64.00	-2.35	1015.0	201808111818
2018081218	-21.25	-64.25	-1.82	1010.0	201808111818
2018081300	-19.25	-63.75	-2.22	1010.0	201808111818
2018081306	-19.25	-63.50	-1.90	1013.0	201808111818
2018083106	-27.25	-72.50	-1.27	1019.0	201808310619
2018083112	-26.75	-72.50	-1.30	1021.0	201808310619
2018083118	-25.25	-71.25	-1.61	1019.0	201808310619
2018090100	-25.50	-71.50	-1.66	1020.0	201808310619
2018090106	-27.00	-72.00	-1.66	1021.0	201808310619
2018090112	-27.00	-72.25	-1.78	1020.0	201808310619
2018090118	-24.75	-73.00	-1.94	1017.0	201808310619
2018090812	-27.25	-73.00	-1.35	1018.0	201809081220
2018090818	-26.75	-69.75	-1.49	1016.0	201809081220
2018090900	-26.00	-70.00	-1.52	1017.0	201809081220
2018090906	-28.50	-70.00	-1.07	1019.0	201809081220
2018090912	-31.50	-72.25	-1.34	1019.0	201809081220
2018090918	-31.50	-73.00	-1.74	1017.0	201809081220
2018091618	-27.00	-70.75	-1.16	1016.0	201809161821
2018091700	-27.00	-69.25	-1.28	1015.0	201809161821
2018091706	-28.25	-68.00	-1.40	1013.0	201809161821
2018091712	-27.25	-67.00	-1.70	1013.0	201809161821
2018091718	-25.75	-68.50	-1.54	1011.0	201809161821
2018091800	-26.50	-68.00	-1.96	1011.0	201809161821
2018091806	-24.00	-64.25	-2.18	1007.0	201809161821
2018091812	-19.50	-63.50	-2.53	1010.0	201809161821
2018092918	-23.50	-44.25	-1.03	1013.0	201809291822
2018093000	-22.75	-40.00	-1.07	1016.0	201809291822
2018093006	-23.00	-42.50	-1.10	1014.0	201809291822
2018093012	-23.00	-40.00	-1.47	1016.0	201809291822
2018093018	-23.25	-40.00	-1.70	1013.0	201809291822
2018100100	-28.50	-41.75	-1.97	1013.0	201809291822
2018101112	-28.25	-73.00	-1.46	1023.0	201810111223
2018101118	-25.50	-71.75	-1.63	1019.0	201810111223
2018101200	-25.75	-71.75	-1.51	1020.0	201810111223
2018101206	-26.50	-71.75	-1.30	1021.0	201810111223
2018101212	-24.00	-71.50	-1.04	1022.0	201810111223
2018101218	-26.75	-70.50	-1.47	1019.0	201810111223
2018101300	-26.50	-70.50	-1.43	1020.0	201810111223
2018101306	-26.50	-70.00	-1.28	1020.0	201810111223
2018101312	-22.50	-70.50	-1.21	1019.0	201810111223
2018101318	-16.50	-74.50	-1.57	1016.0	201810111223
2018102500	-25.75	-70.75	-1.38	1017.0	201810250024
2018102506	-28.00	-71.00	-1.23	1018.0	201810250024
2018102512	-27.00	-71.75	-1.44	1018.0	201810250024
2018102518	-26.25	-71.50	-1.45	1015.0	201810250024
2018102600	-28.25	-70.50	-1.68	1016.0	201810250024
2018102606	-30.50	-70.00	-1.83	1016.0	201810250024
2018102612	-30.00	-70.25	-1.80	1016.0	201810250024
2018102618	-28.75	-69.75	-1.61	1014.0	201810250024
2018102700	-28.00	-69.75	-2.00	1015.0	201810250024
2018102706	-28.00	-69.75	-1.70	1016.0	201810250024
2018102712	-27.50	-69.50	-1.28	1017.0	201810250024
2018102718	-27.50	-69.25	-1.43	1013.0	201810250024
2018102800	-28.00	-68.75	-1.68	1014.0	201810250024
2018102806	-28.75	-68.00	-1.52	1012.0	201810250024
2018102812	-28.50	-67.25	-1.44	1013.0	201810250024
2018102818	-27.00	-67.50	-1.41	1009.0	201810250024
2018102900	-28.50	-68.00	-1.72	1010.0	201810250024
2018102906	-29.25	-65.75	-2.07	1007.0	201810250024
2018102912	-24.00	-63.50	-2.05	1009.0	201810250024
2018102918	-21.75	-63.50	-1.59	1005.0	201810250024
2018103100	-27.00	-71.00	-1.21	1017.0	201810310025
2018103106	-29.00	-70.50	-1.37	1017.0	201810310025
2018103112	-30.50	-70.00	-1.21	1017.0	201810310025
2018103118	-28.00	-69.00	-1.13	1012.0	201810310025
2018110100	-28.50	-68.25	-1.53	1012.0	201810310025
2018110106	-28.75	-67.75	-1.62	1010.0	201810310025
2018110112	-29.00	-66.50	-1.78	1010.0	201810310025
2018110118	-27.00	-66.75	-1.56	1006.0	201810310025
2018110200	-21.00	-63.75	-1.69	1005.0	201810310025
2018110206	-15.00	-65.00	-99.00	1008.0	201810310025
2018110212	-15.00	-62.75	-99.00	1012.0	201810310025
2018111218	-25.25	-70.75	-1.22	1016.0	201811121826
2018111300	-25.50	-71.00	-1.55	1017.0	201811121826
2018111306	-26.75	-71.75	-1.54	1016.0	201811121826
2018111312	-27.00	-71.50	-1.47	1017.0	201811121826
2018111318	-27.50	-70.50	-1.70	1014.0	201811121826
2018111400	-29.00	-70.25	-1.86	1014.0	201811121826
2018111406	-30.25	-70.25	-2.02	1014.0	201811121826
2018111412	-29.75	-70.25	-1.84	1014.0	201811121826
2018111418	-28.25	-69.00	-1.69	1011.0	201811121826
2018111500	-29.50	-67.50	-1.88	1011.0	201811121826
2018111506	-27.50	-67.00	-1.49	1014.0	201811121826
2018111512	-27.25	-71.50	-1.18	1017.0	201811121826
2018111518	-27.00	-70.00	-1.70	1012.0	201811121826
2018111600	-27.75	-68.75	-1.97	1012.0	201811121826
2018111606	-28.00	-67.00	-2.16	1010.0	201811121826
2018111612	-33.00	-64.00	-2.10	1006.0	201811121826
2018121112	-27.50	-72.50	-1.59	1016.0	201812111227
2018121118	-26.75	-70.50	-1.62	1013.0	201812111227
2018121200	-26.75	-70.00	-1.76	1014.0	201812111227
2018121206	-29.00	-69.50	-1.83	1012.0	201812111227
2018121212	-27.75	-65.50	-2.31	1009.0	201812111227
2018121218	-26.75	-68.50	-2.06	1009.0	201812111227
2018121300	-21.00	-63.50	-2.59	1006.0	201812111227
2018121306	-20.75	-63.50	-2.84	1007.0	201812111227
2018121312	-19.75	-63.75	-2.69	1010.0	201812111227
2018121318	-15.00	-63.25	-99.00	1009.0	201812111227
2018121400	-15.00	-63.50	-99.00	1011.0	201812111227
