date	lat	lon	vo	pres	idx
2021010318	-24.00	-42.75	-1.39	1012.0	20210103181
2021010400	-22.75	-44.75	-1.53	1013.0	20210103181
2021010406	-23.75	-44.50	-1.26	1012.0	20210103181
2021010412	-23.75	-40.00	-1.35	1015.0	20210103181
2021010418	-24.25	-43.00	-1.09	1014.0	20210103181
2021010500	-24.50	-47.25	-1.04	1013.0	20210103181
2021011012	-31.50	-72.00	-1.32	1014.0	20210110122
2021011018	-27.25	-67.75	-1.36	1003.0	20210110122
2021011100	-27.25	-67.50	-1.91	1005.0	20210110122
2021011106	-21.75	-63.50	-2.83	1005.0	20210110122
2021011112	-21.00	-63.75	-2.28	1007.0	20210110122
2021011118	-19.50	-64.25	-1.48	1002.0	20210110122
2021011200	-20.00	-64.50	-2.11	1003.0	20210110122
2021011206	-19.00	-64.00	-2.72	1006.0	20210110122
2021011212	-22.50	-61.50	-2.32	1010.0	20210110122
2021011218	-22.50	-58.00	-1.15	1009.0	20210110122
2021011112	-28.25	-73.00	-1.25	1015.0	20210111123
2021011118	-27.25	-71.50	-1.06	1011.0	20210111123
2021011200	-25.75	-67.00	-1.68	1005.0	20210111123
2021011206	-22.50	-63.25	-2.54	1006.0	20210111123
2021011212	-23.00	-61.00	-2.33	1010.0	20210111123
2021011218	-22.50	-58.00	-1.15	1009.0	20210111123
2021011300	-19.00	-60.75	-1.32	1008.0	20210111123
2021031718	-27.50	-73.00	-1.29	1012.0	20210317184
2021031800	-27.00	-71.50	-1.44	1012.0	20210317184
2021031806	-27.75	-71.75	-1.30	1013.0	20210317184
2021031812	-26.50	-70.75	-1.38	1014.0	20210317184
2021031818	-25.50	-70.25	-1.41	1010.0	20210317184
2021031900	-26.25	-69.50	-1.14	1012.0	20210317184
2021031906	-25.50	-70.75	-1.15	1015.0	20210317184
2021031912	-24.75	-70.75	-1.10	1015.0	20210317184
2021040618	-27.50	-70.50	-1.50	1010.0	20210406185
2021040700	-28.00	-69.00	-2.01	1011.0	20210406185
2021040706	-28.25	-68.75	-2.00	1011.0	20210406185
2021040712	-28.00	-66.25	-1.89	1010.0	20210406185
2021040718	-26.75	-67.00	-1.41	1005.0	20210406185
2021040800	-26.75	-69.25	-1.90	1011.0	20210406185
2021040806	-26.50	-70.00	-1.98	1012.0	20210406185
2021040900	-26.50	-70.75	-1.79	1012.0	20210409006
2021040906	-27.75	-72.50	-1.91	1015.0	20210409006
2021040912	-27.25	-73.00	-2.06	1017.0	20210409006
2021040918	-27.00	-72.75	-2.06	1014.0	20210409006
2021041000	-27.75	-73.00	-2.10	1015.0	20210409006
2021042200	-27.25	-72.50	-1.62	1014.0	20210422007
2021042206	-27.25	-73.00	-1.82	1015.0	20210422007
2021042212	-26.75	-73.00	-1.79	1017.0	20210422007
2021042218	-25.75	-71.25	-1.78	1012.0	20210422007
2021042300	-25.50	-70.50	-1.76	1014.0	20210422007
2021042306	-26.50	-73.00	-2.12	1016.0	20210422007
2021051906	-27.50	-72.00	-1.52	1014.0	20210519068
2021051912	-27.25	-72.00	-1.66	1015.0	20210519068
2021051918	-26.75	-71.00	-1.79	1013.0	20210519068
2021052000	-27.25	-70.25	-1.57	1016.0	20210519068
2021052006	-25.50	-71.00	-1.60	1018.0	20210519068
2021052012	-22.50	-71.00	-1.47	1018.0	20210519068
2021052100	-25.25	-71.50	-1.74	1017.0	20210521009
2021052106	-25.50	-72.25	-2.30	1017.0	20210521009
2021052112	-26.25	-73.00	-2.33	1018.0	20210521009
2021052118	-27.50	-72.75	-2.01	1016.0	20210521009
2021052200	-27.50	-73.00	-2.11	1018.0	20210521009
2021052306	-28.00	-73.00	-2.23	1016.0	202105230610
2021052312	-27.50	-73.00	-2.21	1017.0	202105230610
2021052318	-29.00	-71.75	-2.04	1015.0	202105230610
2021052400	-28.50	-72.00	-2.24	1016.0	202105230610
2021052406	-27.25	-73.00	-2.04	1016.0	202105230610
2021053018	-27.00	-71.75	-1.78	1017.0	202105301811
2021053100	-27.75	-69.75	-1.99	1016.0	202105301811
2021053106	-27.00	-70.00	-1.89	1015.0	202105301811
2021053112	-28.50	-69.25	-1.76	1014.0	202105301811
2021053118	-28.75	-68.75	-1.75	1010.0	202105301811
2021060100	-28.25	-67.75	-2.13	1010.0	202105301811
2021060106	-26.50	-70.00	-1.56	1013.0	202105301811
2021060112	-21.75	-74.50	-2.04	1013.0	202105301811
2021060812	-27.25	-70.75	-1.02	1020.0	202106081212
2021060818	-25.50	-70.50	-1.04	1017.0	202106081212
2021060900	-27.25	-69.75	-1.18	1020.0	202106081212
2021060906	-27.25	-71.25	-1.61	1022.0	202106081212
2021060912	-26.00	-72.75	-1.59	1022.0	202106081212
2021060906	-27.25	-71.25	-1.61	1022.0	202106090613
2021060912	-26.00	-72.75	-1.59	1022.0	202106090613
2021060918	-27.00	-72.50	-1.37	1020.0	202106090613
2021061000	-26.25	-72.00	-1.58	1020.0	202106090613
2021061006	-28.50	-73.00	-1.76	1019.0	202106090613
2021061606	-26.00	-71.75	-1.22	1018.0	202106160614
2021061612	-25.50	-72.00	-1.11	1018.0	202106160614
2021061618	-25.75	-71.75	-1.42	1015.0	202106160614
2021061700	-26.25	-70.75	-1.43	1016.0	202106160614
2021061706	-25.25	-71.75	-1.54	1017.0	202106160614
2021061712	-25.50	-71.00	-1.41	1019.0	202106160614
2021061718	-26.00	-70.00	-1.58	1016.0	202106160614
2021061800	-26.75	-69.00	-1.25	1021.0	202106160614
2021061806	-25.00	-71.00	-1.23	1020.0	202106160614
2021061812	-25.00	-72.25	-1.15	1019.0	202106160614
2021061806	-25.00	-71.00	-1.23	1020.0	202106180615
2021061812	-25.00	-72.25	-1.15	1019.0	202106180615
2021061818	-26.75	-73.00	-1.26	1017.0	202106180615
2021061900	-26.75	-70.50	-1.55	1018.0	202106180615
2021061906	-26.75	-71.50	-1.64	1018.0	202106180615
2021061912	-27.25	-70.25	-1.46	1019.0	202106180615
2021061918	-25.75	-70.25	-1.43	1016.0	202106180615
2021062000	-27.00	-69.00	-1.50	1019.0	202106180615
2021062006	-24.50	-70.75	-1.14	1020.0	202106180615
2021062012	-24.75	-70.50	-1.22	1020.0	202106180615
2021062018	-24.75	-70.50	-1.35	1014.0	202106180615
2021062100	-25.50	-70.00	-1.36	1015.0	202106180615
2021062106	-25.50	-70.25	-1.15	1016.0	202106180615
2021062312	-25.75	-72.25	-1.46	1021.0	202106231216
2021062318	-26.50	-71.25	-1.69	1017.0	202106231216
2021062400	-27.50	-70.75	-2.00	1017.0	202106231216
2021062406	-26.25	-71.75	-1.87	1018.0	202106231216
2021062412	-31.50	-70.50	-1.72	1017.0	202106231216
2021062506	-26.75	-70.75	-1.85	1018.0	202106250617
2021062512	-27.75	-73.00	-1.95	1022.0	202106250617
2021062518	-26.50	-72.00	-1.93	1019.0	202106250617
2021062600	-27.00	-72.00	-1.95	1021.0	202106250617
2021062606	-27.00	-72.50	-2.37	1021.0	202106250617
2021072906	-27.75	-72.00	-1.45	1016.0	202107290618
2021072912	-31.50	-70.25	-1.63	1020.0	202107290618
2021072918	-30.25	-71.00	-1.66	1017.0	202107290618
2021073000	-31.50	-70.25	-2.00	1018.0	202107290618
2021073006	-31.50	-71.75	-2.20	1020.0	202107290618
2021073006	-31.50	-71.75	-2.20	1020.0	202107300619
2021073012	-27.50	-67.50	-1.53	1022.0	202107300619
2021073018	-24.00	-68.75	-1.44	1016.0	202107300619
2021073100	-23.25	-70.25	-1.30	1018.0	202107300619
2021073106	-23.00	-71.50	-1.56	1018.0	202107300619
2021073112	-23.00	-71.75	-1.45	1019.0	202107300619
2021081206	-27.50	-72.50	-1.81	1022.0	202108120620
2021081212	-26.50	-72.50	-1.43	1022.0	202108120620
2021081218	-27.00	-71.50	-1.13	1019.0	202108120620
2021081300	-26.75	-70.50	-1.33	1020.0	202108120620
2021081306	-26.00	-72.25	-1.50	1020.0	202108120620
2021081312	-26.75	-72.25	-1.04	1021.0	202108120620
2021081412	-30.75	-49.25	-1.17	1021.0	202108141221
2021081418	-28.75	-47.75	-1.38	1018.0	202108141221
2021081500	-24.75	-45.00	-1.16	1018.0	202108141221
2021081506	-25.00	-44.00	-1.13	1017.0	202108141221
2021081512	-25.25	-43.00	-1.36	1020.0	202108141221
2021081518	-25.00	-41.75	-2.03	1017.0	202108141221
2021082318	-27.50	-73.00	-2.21	1017.0	202108231822
2021082400	-26.25	-72.00	-1.86	1019.0	202108231822
2021082406	-26.25	-71.75	-1.71	1021.0	202108231822
2021082412	-22.50	-70.75	-1.55	1021.0	202108231822
2021082418	-18.00	-73.00	-2.25	1016.0	202108231822
2021082500	-18.00	-72.50	-1.88	1016.0	202108231822
2021082506	-22.75	-71.00	-2.31	1018.0	202108250623
2021082512	-23.00	-71.25	-2.38	1018.0	202108250623
2021082518	-26.50	-69.75	-2.29	1013.0	202108250623
2021082600	-28.50	-69.50	-2.29	1016.0	202108250623
2021082606	-27.00	-71.00	-1.59	1018.0	202108250623
2021082612	-24.00	-71.25	-1.38	1019.0	202108250623
2021083112	-26.00	-71.25	-1.42	1016.0	202108311224
2021083118	-27.00	-70.50	-1.46	1012.0	202108311224
2021090100	-22.50	-65.50	-1.75	1007.0	202108311224
2021090106	-23.25	-63.00	-2.43	1009.0	202108311224
2021090112	-24.50	-61.25	-2.36	1012.0	202108311224
2021090118	-28.50	-60.25	-1.31	1012.0	202108311224
2021090406	-26.50	-71.50	-1.50	1015.0	202109040625
2021090412	-27.25	-71.75	-1.36	1017.0	202109040625
2021090418	-28.75	-70.75	-1.47	1014.0	202109040625
2021090500	-28.50	-70.25	-1.83	1016.0	202109040625
2021090506	-28.00	-71.00	-1.83	1017.0	202109040625
2021090512	-27.50	-71.00	-1.87	1018.0	202109040625
2021090518	-27.00	-70.50	-2.10	1013.0	202109040625
2021090600	-26.75	-70.75	-2.04	1017.0	202109040625
2021090606	-26.50	-71.00	-1.97	1018.0	202109040625
2021090612	-25.25	-71.00	-1.93	1021.0	202109040625
2021090618	-19.50	-71.75	-2.11	1016.0	202109040625
2021091112	-25.25	-72.25	-1.06	1020.0	202109111226
2021091118	-24.75	-71.50	-1.36	1015.0	202109111226
2021091200	-25.00	-71.50	-1.26	1018.0	202109111226
2021091206	-25.25	-72.00	-1.62	1019.0	202109111226
2021091212	-25.00	-71.75	-1.81	1020.0	202109111226
2021091218	-24.75	-71.50	-1.87	1017.0	202109111226
2021091300	-25.00	-71.50	-1.76	1019.0	202109111226
2021091306	-26.25	-72.50	-1.99	1020.0	202109111226
2021091412	-28.75	-73.00	-2.39	1022.0	202109141227
2021091418	-27.75	-70.75	-2.21	1017.0	202109141227
2021091500	-27.50	-70.25	-2.24	1019.0	202109141227
2021091506	-28.50	-73.00	-2.36	1020.0	202109141227
2021091512	-28.75	-73.00	-2.27	1020.0	202109141227
2021091506	-28.50	-73.00	-2.36	1020.0	202109150628
2021091512	-28.75	-73.00	-2.27	1020.0	202109150628
2021091518	-28.75	-72.00	-2.48	1016.0	202109150628
2021091600	-28.00	-70.00	-2.40	1017.0	202109150628
2021091606	-28.50	-71.50	-2.21	1018.0	202109150628
2021091612	-27.50	-73.00	-1.96	1019.0	202109150628
2021091706	-27.75	-72.25	-2.12	1016.0	202109170629
2021091712	-28.00	-73.00	-2.06	1017.0	202109170629
2021091718	-29.50	-72.00	-2.16	1014.0	202109170629
2021091800	-30.00	-71.75	-2.29	1015.0	202109170629
2021091806	-28.50	-72.50	-2.28	1015.0	202109170629
2021093012	-27.25	-73.00	-2.11	1018.0	202109301230
2021093018	-27.25	-72.00	-2.03	1014.0	202109301230
2021100100	-28.25	-70.00	-2.54	1013.0	202109301230
2021100106	-28.50	-71.25	-2.48	1015.0	202109301230
2021100112	-33.00	-73.00	-2.35	1020.0	202109301230
2021101218	-25.25	-71.75	-1.60	1012.0	202110121831
2021101300	-25.50	-71.00	-2.14	1012.0	202110121831
2021101306	-27.25	-70.75	-2.39	1012.0	202110121831
2021101312	-26.75	-71.50	-2.06	1015.0	202110121831
2021101318	-25.25	-70.50	-2.07	1009.0	202110121831
2021101400	-25.50	-70.00	-2.44	1013.0	202110121831
2021101406	-27.25	-72.25	-2.32	1018.0	202110121831
2021110200	-27.00	-71.75	-1.20	1014.0	202111020032
2021110206	-26.25	-74.50	-1.29	1015.0	202111020032
2021110212	-28.75	-71.50	-1.38	1015.0	202111020032
2021110218	-28.00	-70.25	-1.48	1010.0	202111020032
2021110300	-28.50	-70.00	-2.25	1011.0	202111020032
2021110306	-29.25	-70.00	-2.79	1011.0	202111020032
2021110312	-27.75	-73.00	-2.18	1017.0	202111020032
2021111006	-28.75	-71.50	-1.44	1015.0	202111100633
2021111012	-33.00	-70.75	-1.33	1017.0	202111100633
2021111018	-27.25	-69.50	-1.46	1011.0	202111100633
2021111100	-27.50	-69.00	-2.06	1013.0	202111100633
2021111106	-29.25	-69.00	-1.83	1013.0	202111100633
2021111112	-29.00	-68.75	-1.75	1014.0	202111100633
2021111118	-27.00	-69.00	-1.76	1008.0	202111100633
2021111200	-27.75	-69.00	-2.73	1010.0	202111100633
2021111206	-30.00	-69.25	-2.68	1010.0	202111100633
2021111212	-29.25	-68.75	-2.64	1011.0	202111100633
2021111218	-27.00	-68.25	-2.17	1004.0	202111100633
2021111300	-25.50	-67.25	-2.56	1005.0	202111100633
2021111306	-23.25	-63.25	-2.57	1005.0	202111100633
2021111312	-15.00	-64.75	-99.00	1010.0	202111100633
2021120512	-23.25	-45.00	-1.26	1014.0	202112051234
2021120518	-24.25	-43.75	-1.92	1013.0	202112051234
2021120600	-21.25	-48.00	-1.74	1012.0	202112051234
2021120606	-16.50	-52.25	-2.45	1009.0	202112051234
2021120612	-15.00	-54.50	-99.00	1011.0	202112051234
2021120618	-15.00	-51.25	-99.00	1006.0	202112051234
