date	lat	lon	vo	pres	idx
2019012412	-23.75	-43.50	-1.05	1016.0	20190124121
2019012418	-22.00	-40.00	-1.01	1014.0	20190124121
2019012500	-23.00	-46.00	-1.52	1015.0	20190124121
2019012506	-22.75	-45.00	-1.34	1014.0	20190124121
2019012512	-24.00	-45.50	-1.24	1017.0	20190124121
2019030506	-29.50	-71.00	-1.69	1013.0	20190305062
2019030512	-30.75	-71.00	-1.69	1014.0	20190305062
2019030518	-27.75	-70.25	-1.77	1008.0	20190305062
2019030600	-28.00	-68.75	-2.25	1008.0	20190305062
2019030606	-24.00	-64.25	-2.40	1006.0	20190305062
2019030612	-19.50	-64.25	-1.98	1009.0	20190305062
2019030618	-21.25	-64.00	-1.50	1002.0	20190305062
2019030700	-26.25	-66.25	-2.47	1003.0	20190305062
2019030706	-25.50	-64.00	-2.27	1004.0	20190305062
2019030712	-24.00	-62.75	-2.65	1009.0	20190305062
2019030718	-21.25	-62.50	-1.54	1005.0	20190305062
2019031106	-27.00	-72.50	-1.40	1012.0	20190311063
2019031112	-26.75	-73.00	-1.52	1013.0	20190311063
2019031118	-26.75	-71.75	-1.17	1010.0	20190311063
2019031200	-27.00	-70.50	-1.71	1010.0	20190311063
2019031206	-30.00	-73.00	-1.65	1011.0	20190311063
2019031812	-28.75	-48.50	-1.34	1010.0	20190318124
2019031818	-29.00	-46.00	-1.72	1007.0	20190318124
2019031900	-29.00	-45.00	-1.65	1009.0	20190318124
2019031906	-29.25	-44.00	-1.75	1007.0	20190318124
2019031912	-31.25	-40.00	-2.29	1008.0	20190318124
2019031918	-28.75	-40.00	-2.39	1007.0	20190318124
2019041500	-27.75	-73.00	-1.44	1014.0	20190415005
2019041506	-33.00	-73.00	-1.38	1015.0	20190415005
2019041512	-30.75	-73.00	-1.25	1016.0	20190415005
2019041518	-29.25	-70.75	-1.21	1012.0	20190415005
2019041600	-28.50	-69.50	-1.64	1011.0	20190415005
2019041606	-31.50	-70.50	-1.51	1012.0	20190415005
2019042406	-25.75	-72.00	-1.29	1016.0	20190424066
2019042412	-25.00	-72.25	-1.33	1017.0	20190424066
2019042418	-25.50	-72.00	-1.37	1015.0	20190424066
2019042500	-25.25	-71.75	-1.27	1016.0	20190424066
2019042506	-26.25	-73.00	-1.50	1018.0	20190424066
2019042600	-25.50	-71.50	-1.61	1015.0	20190426007
2019042606	-24.75	-72.25	-1.45	1015.0	20190426007
2019042612	-26.25	-74.50	-1.14	1016.0	20190426007
2019042618	-27.75	-72.25	-1.13	1013.0	20190426007
2019042700	-27.00	-70.75	-1.56	1012.0	20190426007
2019042706	-27.25	-71.75	-1.63	1012.0	20190426007
2019042712	-27.00	-73.00	-1.70	1013.0	20190426007
2019050806	-28.75	-72.00	-2.31	1015.0	20190508068
2019050812	-27.25	-73.00	-2.05	1017.0	20190508068
2019050818	-26.25	-71.75	-1.95	1014.0	20190508068
2019050900	-25.75	-71.50	-1.89	1015.0	20190508068
2019050906	-25.75	-72.25	-2.25	1015.0	20190508068
2019050900	-25.75	-71.50	-1.89	1015.0	20190509009
2019050906	-25.75	-72.25	-2.25	1015.0	20190509009
2019050912	-26.50	-73.00	-2.26	1017.0	20190509009
2019050918	-26.50	-71.75	-2.38	1014.0	20190509009
2019051000	-26.50	-71.75	-2.18	1017.0	20190509009
2019051006	-26.50	-72.25	-2.15	1018.0	20190509009
2019051000	-26.50	-71.75	-2.18	1017.0	201905100010
2019051006	-26.50	-72.25	-2.15	1018.0	201905100010
2019051012	-27.00	-73.00	-1.82	1019.0	201905100010
2019051018	-24.75	-70.25	-1.89	1013.0	201905100010
2019051100	-25.50	-70.25	-1.78	1016.0	201905100010
2019051106	-29.50	-71.50	-1.73	1017.0	201905100010
2019051918	-25.75	-73.00	-2.35	1019.0	201905191811
2019052000	-25.50	-72.25	-2.04	1019.0	201905191811
2019052006	-24.75	-73.00	-2.40	1019.0	201905191811
2019052012	-24.75	-72.50	-2.30	1019.0	201905191811
2019052018	-26.50	-72.25	-2.21	1017.0	201905191811
2019052100	-25.25	-71.75	-2.09	1017.0	201905191811
2019052106	-25.00	-72.00	-2.28	1017.0	201905191811
2019052100	-25.25	-71.75	-2.09	1017.0	201905210012
2019052106	-25.00	-72.00	-2.28	1017.0	201905210012
2019052112	-25.75	-72.50	-2.11	1018.0	201905210012
2019052118	-26.00	-71.75	-1.99	1015.0	201905210012
2019052200	-26.00	-71.25	-1.78	1017.0	201905210012
2019052206	-24.00	-71.75	-1.75	1017.0	201905210012
2019052212	-21.50	-72.25	-1.34	1017.0	201905210012
2019052600	-25.00	-72.00	-1.21	1015.0	201905260013
2019052606	-24.50	-72.75	-1.13	1016.0	201905260013
2019052612	-23.75	-72.25	-1.11	1018.0	201905260013
2019052618	-23.75	-71.75	-1.14	1015.0	201905260013
2019052700	-22.75	-71.50	-1.07	1016.0	201905260013
2019052706	-23.50	-71.50	-1.15	1017.0	201905260013
2019053106	-25.50	-70.75	-1.09	1019.0	201905310614
2019053112	-25.50	-71.00	-1.20	1020.0	201905310614
2019053118	-26.00	-70.25	-1.39	1016.0	201905310614
2019060100	-25.25	-70.00	-1.46	1018.0	201905310614
2019060106	-25.25	-70.75	-1.29	1019.0	201905310614
2019060112	-25.00	-71.50	-1.17	1019.0	201905310614
2019060606	-26.75	-71.50	-2.08	1017.0	201906060615
2019060612	-27.75	-72.25	-2.38	1017.0	201906060615
2019060618	-29.00	-71.75	-2.63	1016.0	201906060615
2019060700	-29.00	-72.00	-2.61	1017.0	201906060615
2019060706	-28.00	-73.00	-2.35	1017.0	201906060615
2019061200	-26.00	-71.25	-1.05	1016.0	201906120016
2019061206	-25.50	-71.75	-1.22	1018.0	201906120016
2019061212	-26.00	-71.50	-1.14	1019.0	201906120016
2019061218	-24.75	-70.50	-1.23	1015.0	201906120016
2019061300	-21.25	-64.00	-1.77	1009.0	201906120016
2019061306	-15.00	-65.25	-99.00	1012.0	201906120016
2019061312	-22.50	-61.75	-2.29	1014.0	201906120016
2019061318	-26.75	-59.75	-1.77	1012.0	201906120016
2019061212	-26.00	-71.50	-1.14	1019.0	201906121217
2019061218	-24.75	-70.50	-1.23	1015.0	201906121217
2019061300	-23.75	-70.25	-1.30	1016.0	201906121217
2019061306	-24.50	-71.50	-1.39	1018.0	201906121217
2019061312	-25.00	-71.50	-1.66	1018.0	201906121217
2019061318	-26.75	-71.50	-1.80	1016.0	201906121217
2019061706	-23.25	-71.00	-1.97	1016.0	201906170618
2019061712	-23.75	-71.75	-1.70	1017.0	201906170618
2019061718	-27.00	-72.00	-1.84	1015.0	201906170618
2019061800	-26.50	-72.00	-1.82	1015.0	201906170618
2019061806	-27.75	-73.00	-1.76	1015.0	201906170618
2019062618	-25.00	-73.00	-1.22	1012.0	201906261819
2019062700	-26.50	-68.50	-1.27	1009.0	201906261819
2019062706	-25.50	-65.50	-1.38	1008.0	201906261819
2019062712	-24.00	-62.50	-2.16	1008.0	201906261819
2019062718	-28.50	-60.50	-1.56	1005.0	201906261819
2019062800	-33.00	-58.75	-2.32	1008.0	201906261819
2019062806	-33.00	-56.50	-2.50	1009.0	201906261819
2019070912	-26.75	-71.25	-1.15	1018.0	201907091220
2019070918	-27.75	-70.75	-1.34	1013.0	201907091220
2019071000	-26.50	-70.00	-1.61	1014.0	201907091220
2019071006	-27.50	-70.75	-1.45	1015.0	201907091220
2019071012	-28.75	-71.25	-1.33	1017.0	201907091220
2019071018	-28.25	-70.25	-1.29	1014.0	201907091220
2019071100	-26.75	-70.50	-1.09	1017.0	201907091220
2019071106	-26.75	-72.25	-1.23	1018.0	201907091220
2019071106	-26.75	-72.25	-1.23	1018.0	201907110621
2019071112	-26.50	-72.75	-1.28	1018.0	201907110621
2019071118	-26.50	-71.75	-1.29	1014.0	201907110621
2019071200	-25.50	-71.50	-1.40	1015.0	201907110621
2019071206	-26.00	-71.75	-1.82	1016.0	201907110621
2019071212	-26.50	-71.75	-1.97	1017.0	201907110621
2019071218	-28.00	-71.00	-1.91	1015.0	201907110621
2019071300	-26.50	-70.50	-1.74	1017.0	201907110621
2019071306	-26.75	-71.75	-1.99	1018.0	201907110621
2019071312	-27.25	-72.00	-2.14	1019.0	201907110621
2019071318	-28.00	-71.25	-2.13	1016.0	201907110621
2019071400	-27.00	-71.00	-2.13	1017.0	201907110621
2019071406	-26.75	-72.75	-2.04	1018.0	201907110621
2019071512	-27.50	-73.00	-2.02	1018.0	201907151222
2019071518	-28.50	-70.75	-1.63	1016.0	201907151222
2019071600	-28.25	-69.25	-1.81	1018.0	201907151222
2019071606	-29.75	-68.75	-1.56	1018.0	201907151222
2019071612	-29.25	-68.75	-1.55	1019.0	201907151222
2019071618	-28.25	-69.00	-1.86	1014.0	201907151222
2019071700	-30.50	-69.50	-2.30	1016.0	201907151222
2019072100	-26.50	-71.50	-1.85	1016.0	201907210023
2019072106	-26.50	-72.50	-2.04	1017.0	201907210023
2019072112	-26.25	-72.25	-2.26	1018.0	201907210023
2019072118	-27.25	-71.75	-2.71	1017.0	201907210023
2019072200	-27.75	-71.50	-2.61	1019.0	201907210023
2019072206	-30.25	-73.00	-2.82	1022.0	201907210023
2019072612	-28.25	-73.00	-1.79	1019.0	201907261224
2019072618	-28.50	-70.75	-1.79	1017.0	201907261224
2019072700	-28.25	-70.00	-1.85	1018.0	201907261224
2019072706	-28.75	-69.75	-1.82	1019.0	201907261224
2019072712	-29.00	-68.75	-1.63	1020.0	201907261224
2019072718	-27.75	-68.50	-1.45	1014.0	201907261224
2019072800	-27.00	-68.50	-1.90	1017.0	201907261224
2019072806	-25.25	-69.50	-1.73	1019.0	201907261224
2019080106	-27.00	-72.00	-3.39	1020.0	201908010625
2019080112	-26.75	-73.00	-3.21	1020.0	201908010625
2019080118	-25.25	-70.25	-2.53	1016.0	201908010625
2019080200	-24.25	-70.00	-2.05	1018.0	201908010625
2019080206	-21.00	-72.25	-1.62	1017.0	201908010625
2019080900	-26.00	-70.75	-1.82	1019.0	201908090026
2019080906	-25.25	-72.25	-2.05	1019.0	201908090026
2019080912	-28.00	-73.00	-2.07	1019.0	201908090026
2019080918	-28.50	-71.75	-2.04	1015.0	201908090026
2019081000	-30.00	-70.25	-2.65	1016.0	201908090026
2019081006	-30.00	-69.75	-2.62	1016.0	201908090026
2019081012	-25.50	-71.75	-1.96	1020.0	201908090026
2019081018	-23.75	-70.75	-1.87	1014.0	201908090026
2019081100	-24.00	-70.50	-1.94	1016.0	201908090026
2019081106	-22.00	-71.75	-2.15	1016.0	201908090026
2019081706	-27.25	-72.00	-1.46	1018.0	201908170627
2019081712	-27.25	-72.50	-1.34	1019.0	201908170627
2019081718	-27.00	-71.50	-1.11	1016.0	201908170627
2019081800	-26.75	-70.75	-1.11	1018.0	201908170627
2019081806	-26.25	-71.75	-1.33	1018.0	201908170627
2019081812	-26.75	-72.00	-1.23	1018.0	201908170627
2019081818	-33.00	-71.75	-1.08	1019.0	201908170627
2019081900	-27.25	-69.25	-1.09	1017.0	201908170627
2019082118	-31.50	-72.00	-1.01	1017.0	201908211828
2019082200	-28.50	-70.00	-1.45	1018.0	201908211828
2019082206	-28.75	-70.25	-1.75	1017.0	201908211828
2019082212	-30.50	-70.00	-1.79	1018.0	201908211828
2019082218	-29.75	-69.50	-1.63	1014.0	201908211828
2019082300	-28.00	-68.75	-2.37	1014.0	201908211828
2019082306	-29.50	-69.25	-2.07	1015.0	201908211828
2019082312	-30.25	-69.00	-1.75	1017.0	201908211828
2019082318	-25.50	-70.00	-1.57	1011.0	201908211828
2019082400	-28.50	-68.50	-2.02	1014.0	201908211828
2019082406	-30.50	-69.50	-1.95	1015.0	201908211828
2019090606	-25.50	-71.25	-1.18	1017.0	201909060629
2019090612	-27.00	-72.25	-1.22	1019.0	201909060629
2019090618	-26.75	-72.00	-1.91	1016.0	201909060629
2019090700	-27.25	-71.50	-1.82	1017.0	201909060629
2019090706	-27.25	-72.25	-2.21	1018.0	201909060629
2019090700	-27.25	-71.50	-1.82	1017.0	201909070030
2019090706	-27.25	-72.25	-2.21	1018.0	201909070030
2019090712	-26.75	-72.75	-2.27	1020.0	201909070030
2019090718	-25.50	-71.75	-1.90	1018.0	201909070030
2019090800	-23.50	-70.25	-1.43	1020.0	201909070030
2019090806	-22.25	-71.00	-1.41	1021.0	201909070030
2019090812	-16.50	-72.75	-1.85	1017.0	201909070030
2019090818	-24.75	-71.25	-1.79	1016.0	201909070030
2019090900	-26.00	-71.75	-1.94	1019.0	201909070030
2019090906	-25.50	-71.75	-1.81	1018.0	201909070030
2019093000	-25.75	-72.75	-1.48	1015.0	201909300031
2019093006	-25.50	-72.75	-1.61	1016.0	201909300031
2019093012	-25.00	-72.75	-1.80	1018.0	201909300031
2019093018	-24.75	-71.75	-2.02	1014.0	201909300031
2019100100	-25.25	-71.25	-1.95	1016.0	201909300031
2019100106	-26.25	-71.75	-1.93	1017.0	201909300031
2019100112	-27.00	-73.00	-2.21	1019.0	201909300031
2019100106	-26.25	-71.75	-1.93	1017.0	201910010632
2019100112	-27.00	-73.00	-2.21	1019.0	201910010632
2019100118	-26.50	-72.00	-2.34	1014.0	201910010632
2019100200	-26.25	-71.00	-2.48	1015.0	201910010632
2019100206	-30.50	-71.00	-2.59	1018.0	201910010632
2019100200	-26.25	-71.00	-2.48	1015.0	201910020033
2019100206	-30.50	-71.00	-2.59	1018.0	201910020033
2019100212	-28.00	-71.75	-2.38	1020.0	201910020033
2019100218	-27.00	-71.25	-2.46	1017.0	201910020033
2019100300	-27.75	-70.25	-2.55	1018.0	201910020033
